keys,fr,en
"Deux jours plus tard, toujours rien ! Et la police refuse de bouger sous prétexte qu'elle est majeure.","Deux jours plus tard, toujours rien ! Et la police refuse de bouger sous prétexte qu'elle est majeure.","Two days later, still nothing! And the police refuse to move, on the grounds that she's an adult."
"C'est une honte.","C'est une honte.","It's a disgrace."
"Rassurez-vous monsieur, nous allons la retrouver.","Rassurez-vous monsieur, nous allons la retrouver.","Don't worry, sir, we'll find her."
"J'espère bien.","J'espère bien.","I should hope so."
"C'est terrible. Avez-vous reçu une demande de rançon ?","C'est terrible. Avez-vous reçu une demande de rançon ?","That's terrible. Have you received a ransom demand?"
"Une rançon ? Non, rien, quelle idée.","Une rançon ? Non, rien, quelle idée.","A ransom? No, nothing, what an idea."
"Vous avez une idée de l'endroit où elle pourrait être ?","Vous avez une idée de l'endroit où elle pourrait être ?","Do you have any idea where she might be?"
"Si je le savais, je ne paierais pas un hacker.","Si je le savais, je ne paierais pas un hacker.","If I knew, I wouldn't be paying a hacker."
"Ces derniers temps, elle était sur les nerfs. Quelqu'un lui a retourné le cerveau, c'est sûr.","Ces derniers temps, elle était sur les nerfs. Quelqu'un lui a retourné le cerveau, c'est sûr.","Lately she'd been on edge. Someone's turned her head, for sure."
"Elle contestait tout : les règles, les horaires, mes décisions... Je l'élève seul [color=important]depuis 10 ans[/color] ! Je fais tout pour son bien.","Elle contestait tout : les règles, les horaires, mes décisions... Je l'élève seul [color=important]depuis 10 ans[/color] ! Je fais tout pour son bien.","She questioned everything: the rules, the curfews, my decisions... I've raised her alone [color=important]for 10 years[/color]! I do everything for her own good."
"Je sais que je ne suis pas parfait, mais qui l'est ? Enfin bref.","Je sais que je ne suis pas parfait, mais qui l'est ? Enfin bref.","I know I'm not perfect, but who is? Anyway."
"J'ai déjà avancé sur l'enquête. Je suis un peu hacker moi-même.","J'ai déjà avancé sur l'enquête. Je suis un peu hacker moi-même.","I've already made some progress on the investigation. I'm a bit of a hacker myself."
"Vous vous y connaissez...","Vous vous y connaissez...","You know a thing or two, huh..."
"Vous êtes hacker ?","Vous êtes hacker ?","You're a hacker?"
"Un débutant ?","Un débutant ?","A beginner?"
"J'ai trouvé un gars sur le darkweb qui m'a vendu une clé USB magique.","J'ai trouvé un gars sur le darkweb qui m'a vendu une clé USB magique.","I found a guy on the darkweb who sold me a magic USB key."
"Ça a marché direct, j'ai aspiré tout le contenu du téléphone d'Alizée !","Ça a marché direct, j'ai aspiré tout le contenu du téléphone d'Alizée !","Worked right away, I sucked up the entire contents of Alizée's phone!"
"Vous avez installé un logiciel inconnu acheté à un inconnu sur le téléphone de votre fille ?","Vous avez installé un logiciel inconnu acheté à un inconnu sur le téléphone de votre fille ?","You installed unknown software bought from a stranger on your daughter's phone?"
"Évidemment ! C'est pas un inconnu d'ailleurs, je lui ai déjà acheté un système de caméras discrètes.","Évidemment ! C'est pas un inconnu d'ailleurs, je lui ai déjà acheté un système de caméras discrètes.","Obviously! He's not really a stranger, actually, I already bought a hidden camera system from him."
"C'est d'une imprudence totale.","C'est d'une imprudence totale.","That's utterly reckless."
"Ben quoi ? Ça a marché.","Ben quoi ? Ça a marché.","So what? It worked."
"Il s'est passé quoi ensuite ?","Il s'est passé quoi ensuite ?","What happened next?"
"Merci. Mais j'attends une ristourne, vu que j'ai fait le plus gros.","Merci. Mais j'attends une ristourne, vu que j'ai fait le plus gros.","Thanks. But I'm expecting a discount, seeing as I did the hard part."
"Impressionnant, vous êtes un vrai hacker !","Impressionnant, vous êtes un vrai hacker !","Impressive, you're a real hacker!"
"Par contre, le [color=important]téléphone est étonnamment vide[/color], peu de sms, mail, ou images.","Par contre, le [color=important]téléphone est étonnamment vide[/color], peu de sms, mail, ou images.","However, the [color=important]phone is oddly empty[/color], few texts, emails, or pictures."
"Et y'a un truc [color=important]crypté[/color] que j'ai pas réussi à lire.","Et y'a un truc [color=important]crypté[/color] que j'ai pas réussi à lire.","And there's something [color=important]encrypted[/color] I couldn't manage to read."
"Bref, à vous de jouer.","Bref, à vous de jouer.","Anyway, it's up to you now."
"Envoyez-moi les données.","Envoyez-moi les données.","Send me the data."
"En revanche, vous savez que ce n'est pas gratuit ? Payable en crypto-monnaie.","En revanche, vous savez que ce n'est pas gratuit ? Payable en crypto-monnaie.","That said, you know this isn't free? Payable in cryptocurrency."
"L'argent n'est pas un problème.","L'argent n'est pas un problème.","Money isn't a problem."
"J'ai une bonne retraite. J'ai travaillé pour ça !","J'ai une bonne retraite. J'ai travaillé pour ça !","I've got a good pension. I worked for it!"
"Ce sera 2 000 €.","Ce sera 2 000 €.","That'll be €2,000."
"Ce sera 2 000 € en cas de succès uniquement.","Ce sera 2 000 € en cas de succès uniquement.","That'll be €2,000, payable only on success."
"Ça me va, mais dépêchez-vous.","Ça me va, mais dépêchez-vous.","That works for me, but hurry up."
"Vu la complexité et l'urgence, ce sera 4 000 €.","Vu la complexité et l'urgence, ce sera 4 000 €.","Given the complexity and urgency, that'll be €4,000."
"Vu la complexité et l'urgence, ce sera 4 000 € en cas de succès uniquement.","Vu la complexité et l'urgence, ce sera 4 000 € en cas de succès uniquement.","Given the complexity and urgency, that'll be €4,000, payable only on success."
"C'est cher payé pour ouvrir un fichier, mais j'ai pas le choix. Dépêchez-vous.","C'est cher payé pour ouvrir un fichier, mais j'ai pas le choix. Dépêchez-vous.","That's a steep price to open a file, but I have no choice. Hurry up."
"Voilà l'archive.","Voilà l'archive.","Here's the archive."
"Merci, je vous ferai un rapport complet dès que possible.","Merci, je vous ferai un rapport complet dès que possible.","Thank you, I'll send you a full report as soon as possible."
"J'attends votre rapport !","J'attends votre rapport !","I'm waiting for your report!"
"Déconnexion...","Déconnexion...","Disconnecting..."
"J'ai désormais accès aux archives du téléphone d'Alizée.","J'ai désormais accès aux archives du téléphone d'Alizée.","I now have access to Alizée's phone archives."
"Je dois trouver pourquoi elle a disparu, si elle va bien, qui est au courant... et à quel endroit elle se trouve.","Je dois trouver pourquoi elle a disparu, si elle va bien, qui est au courant... et à quel endroit elle se trouve.","I need to find out why she disappeared, whether she's okay, who knows about it... and where she is."
